drug_id,display_name,aliases,smiles,inchikey,inchikey_block
fluvastatin,fluvastatin,fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,FJLGEFLZQAZZCD-JUFISIKESA-N,FJLGEFLZQAZZCD
fluvoxamine,fluvoxamine,fluvoxamine|luvox,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,CJOFXWAVKWHTFT-XSFVSMFZSA-N,CJOFXWAVKWHTFT
fosaprepitant,fosaprepitant,fosaprepitant,C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,BARDROPHSZEBKC-OITMNORJSA-N,BARDROPHSZEBKC
fostamatinib,fostamatinib,fostamatinib,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,GKDRMWXFWHEQQT-UHFFFAOYSA-N,GKDRMWXFWHEQQT
furosemide,furosemide,furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,ZZUFCTLCJUWOSV
gabapentin,gabapentin,gabapentin|gralise|neurontin,NCC1(CC(=O)O)CCCCC1,UGJMXCAKCUNAIE-UHFFFAOYSA-N,UGJMXCAKCUNAIE
gemfibrozil,gemfibrozil,gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,HEMJJKBWTPKOJG
glimepiride,glimepiride,"1h-pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-n-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-|glimepiride",CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,WIGIZIANZCJQQY-UHFFFAOYSA-N,WIGIZIANZCJQQY
glyburide,glyburide,glibenclamide|glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,ZNNLBTZKUZBEKO
hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide|hydrodiuril|microzide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,JZUFKLXOESDKRF-UHFFFAOYSA-N,JZUFKLXOESDKRF
ibrutinib,ibrutinib,ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,XYFPWWZEPKGCCK-GOSISDBHSA-N,XYFPWWZEPKGCCK
ibuprofen,ibuprofen,"advil|ibuprofen|ibuprofen, (+-)-|motrin|nurofen",CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,HEFNNWSXXWATRW
idelalisib,idelalisib,idelalisib,CC[C@H](Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,IFSDAJWBUCMOAH-HNNXBMFYSA-N,IFSDAJWBUCMOAH
imatinib,imatinib,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW
imipramine,imipramine,imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,BCGWQEUPMDMJNV
indinavir,indinavir,indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-PXQQMZJSSA-N,CBVCZFGXHXORBI
isavuconazole,isavuconazole,cresemba|isavuconazole|isavuconazonium,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,DDFOUSQFMYRUQK-RCDICMHDSA-N,DDFOUSQFMYRUQK
